source_iso3,source_industry,target_iso3,target_industry,industry,dependency_weight,flow_value_usd,hs_codes,n_hs_codes,source_urls,period
CHN,electronics,JPN,electronics,electronics,0.7477,33917878580.3,8471;8517;8528,3,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,TWN,electronics,electronics,0.7391,7267792626.61,8471;8517;8528,3,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,THA,electronics,electronics,0.6064,7196828659.58,8471;8517;8528,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,VNM,electronics,electronics,0.5552,10639606820.33,8471;8517;8528,3,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,MEX,electronics,electronics,0.5452,14492365680.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,USA,electronics,electronics,0.5411,117377305036.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,KOR,electronics,electronics,0.5336,11305692226.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8528&y=2019,2019
USA,automotive,MEX,automotive,automotive,0.486,19011552540.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8708&y=2019,2019
CHN,electronics,DEU,electronics,electronics,0.4826,25794905234.91,8471;8517;8528,3,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,MYS,electronics,electronics,0.4786,3456279018.93,8471;8517;8528,3,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8528&y=2019,2019
CHN,electronics,IND,electronics,electronics,0.4344,9688881484.38,8471;8517;8528,3,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8528&y=2019,2019
S19,semiconductors,JPN,semiconductors,semiconductors,0.4322,10141926697.13,8541;8542,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y=2019,2019
MYS,semiconductors,USA,semiconductors,semiconductors,0.422,18736376250.0,8541;8542,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y=2019,2019
