source,target,match_status,hardcoded_dep_weight,real_dep_weight,diff_real_minus_hc,ratio_real_over_hc,hardcoded_flow_b_usd,real_flow_b_usd
TWN:semiconductors,JPN:automotive,missing,0.24,,,,1.5,
TWN:semiconductors,JPN:electronics,missing,0.37,,,,6.6,
TWN:semiconductors,CHN:electronics,missing,0.36,,,,67.0,
TWN:semiconductors,THA:automotive,missing,0.15,,,,0.5,
TWN:semiconductors,THA:electronics,missing,0.23,,,,2.3,
TWN:semiconductors,MYS:electronics,missing,0.21,,,,5.7,
TWN:semiconductors,KOR:electronics,missing,0.2,,,,6.2,
TWN:semiconductors,VNM:electronics,missing,0.12,,,,3.3,
TWN:semiconductors,DEU:automotive,missing,0.07,,,,0.5,
TWN:semiconductors,DEU:electronics,missing,0.11,,,,2.0,
TWN:semiconductors,USA:automotive,missing,0.05,,,,0.6,
TWN:semiconductors,USA:electronics,missing,0.08,,,,2.7,
TWN:semiconductors,USA:aerospace,missing,0.06,,,,0.3,
TWN:semiconductors,MEX:automotive,missing,0.05,,,,0.3,
TWN:semiconductors,MEX:electronics,missing,0.07,,,,1.4,
TWN:semiconductors,IND:automotive,missing,0.02,,,,0.04,
TWN:semiconductors,IND:electronics,missing,0.04,,,,0.16,
KOR:semiconductors,USA:electronics,cross_industry_proxy,0.22,0.0701,-0.1499,0.319,12.0,3.11
KOR:semiconductors,CHN:electronics,cross_industry_proxy,0.25,0.1956,-0.0544,0.782,15.0,65.04
KOR:semiconductors,DEU:automotive,cross_industry_proxy,0.14,0.0649,-0.0751,0.464,4.0,1.55
USA:semiconductors,USA:automotive,missing,0.18,,,,6.0,
USA:semiconductors,USA:aerospace,missing,0.35,,,,8.0,
USA:semiconductors,MEX:automotive,cross_industry_proxy,0.16,0.0534,-0.1066,0.334,4.0,1.32
JPN:semiconductors,JPN:automotive,missing,0.28,,,,9.0,
JPN:semiconductors,DEU:automotive,cross_industry_proxy,0.1,0.0551,-0.0449,0.551,3.0,1.31
CHN:semiconductors,CHN:electronics,cross_industry_proxy,0.15,0.14,-0.01,0.933,10.0,46.57
NLD:semiconductors,TWN:semiconductors,missing,0.45,,,,4.0,
NLD:semiconductors,KOR:semiconductors,missing,0.4,,,,3.0,
NLD:semiconductors,USA:semiconductors,missing,0.3,,,,2.5,
CHN:electronics,USA:consumer_goods,cross_industry_proxy,0.45,0.5411,0.0911,1.202,50.0,117.38
VNM:electronics,USA:consumer_goods,cross_industry_proxy,0.18,0.1362,-0.0438,0.757,18.0,13.88
KOR:electronics,USA:consumer_goods,cross_industry_proxy,0.15,0.0416,-0.1084,0.277,14.0,4.23
MYS:electronics,USA:consumer_goods,cross_industry_proxy,0.1,0.0272,-0.0728,0.272,8.0,2.78
MEX:electronics,USA:consumer_goods,cross_industry_proxy,0.12,0.2071,0.0871,1.726,9.0,44.92
KOR:electronics,DEU:automotive,cross_industry_proxy,0.18,0.0207,-0.1593,0.115,6.0,0.63
JPN:electronics,USA:automotive,missing,0.2,,,,8.0,
MEX:automotive,USA:automotive,exact_match,0.212,0.3192,0.1072,1.506,38.1,90.08
DEU:automotive,USA:automotive,exact_match,0.101,0.09,-0.011,0.891,18.1,22.42
JPN:automotive,USA:automotive,exact_match,0.222,0.1709,-0.0511,0.77,39.9,48.23
KOR:automotive,USA:automotive,exact_match,0.091,0.084,-0.007,0.923,16.3,20.92
DEU:automotive,JPN:automotive,exact_match,0.451,0.2969,-0.1541,0.658,5.5,6.15
THA:automotive,JPN:automotive,exact_match,0.15,0.1293,-0.0207,0.862,7.0,1.11
VNM:consumer_goods,USA:consumer_goods,missing,0.14,,,,24.0,
IND:consumer_goods,USA:consumer_goods,missing,0.1,,,,12.0,
CHN:consumer_goods,DEU:automotive,missing,0.08,,,,6.0,
TWN:shipping,TWN:semiconductors,missing,0.5,,,,3.0,
USA:shipping,USA:consumer_goods,missing,0.3,,,,25.0,
CHN:shipping,USA:consumer_goods,missing,0.4,,,,35.0,
NLD:shipping,DEU:automotive,missing,0.22,,,,14.0,
USA:automotive,USA:consumer_goods,missing,0.1,,,,10.0,
DEU:automotive,DEU:electronics,missing,0.12,,,,4.0,
CHN:electronics,CHN:consumer_goods,cross_industry_proxy,0.18,0.3535,0.1735,1.964,22.0,26.15
