country_iso3,sector,present,_source_origin
ARE,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
ARE,automotive,false,denormalized from expanded_graph_nodes_v2.csv
ARE,electronics,false,denormalized from expanded_graph_nodes_v2.csv
ARE,aerospace,false,denormalized from expanded_graph_nodes_v2.csv
ARE,shipping,true,denormalized from expanded_graph_nodes_v2.csv
ARE,energy,true,denormalized from expanded_graph_nodes_v2.csv
ARE,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
ARE,banking,true,denormalized from expanded_graph_nodes_v2.csv
ARE,insurance,false,denormalized from expanded_graph_nodes_v2.csv
ARE,capital_markets,false,denormalized from expanded_graph_nodes_v2.csv
ARE,oil,true,denormalized from expanded_graph_nodes_v2.csv
ARE,gas,false,denormalized from expanded_graph_nodes_v2.csv
ARE,utilities,true,denormalized from expanded_graph_nodes_v2.csv
ARE,aviation,true,denormalized from expanded_graph_nodes_v2.csv
ARE,ports,true,denormalized from expanded_graph_nodes_v2.csv
ARE,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
ARE,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
ARE,tourism,true,denormalized from expanded_graph_nodes_v2.csv
ARE,government,true,denormalized from expanded_graph_nodes_v2.csv
ARG,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
ARG,automotive,true,denormalized from expanded_graph_nodes_v2.csv
ARG,electronics,false,denormalized from expanded_graph_nodes_v2.csv
ARG,aerospace,false,denormalized from expanded_graph_nodes_v2.csv
ARG,shipping,false,denormalized from expanded_graph_nodes_v2.csv
ARG,energy,false,denormalized from expanded_graph_nodes_v2.csv
ARG,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
ARG,banking,true,denormalized from expanded_graph_nodes_v2.csv
ARG,insurance,false,denormalized from expanded_graph_nodes_v2.csv
ARG,capital_markets,false,denormalized from expanded_graph_nodes_v2.csv
ARG,oil,false,denormalized from expanded_graph_nodes_v2.csv
ARG,gas,false,denormalized from expanded_graph_nodes_v2.csv
ARG,utilities,true,denormalized from expanded_graph_nodes_v2.csv
ARG,aviation,false,denormalized from expanded_graph_nodes_v2.csv
ARG,ports,false,denormalized from expanded_graph_nodes_v2.csv
ARG,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
ARG,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
ARG,tourism,true,denormalized from expanded_graph_nodes_v2.csv
ARG,government,true,denormalized from expanded_graph_nodes_v2.csv
AUS,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
AUS,automotive,false,denormalized from expanded_graph_nodes_v2.csv
AUS,electronics,false,denormalized from expanded_graph_nodes_v2.csv
AUS,aerospace,false,denormalized from expanded_graph_nodes_v2.csv
AUS,shipping,false,denormalized from expanded_graph_nodes_v2.csv
AUS,energy,true,denormalized from expanded_graph_nodes_v2.csv
AUS,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
AUS,banking,true,denormalized from expanded_graph_nodes_v2.csv
AUS,insurance,true,denormalized from expanded_graph_nodes_v2.csv
AUS,capital_markets,true,denormalized from expanded_graph_nodes_v2.csv
AUS,oil,false,denormalized from expanded_graph_nodes_v2.csv
AUS,gas,true,denormalized from expanded_graph_nodes_v2.csv
AUS,utilities,true,denormalized from expanded_graph_nodes_v2.csv
AUS,aviation,true,denormalized from expanded_graph_nodes_v2.csv
AUS,ports,false,denormalized from expanded_graph_nodes_v2.csv
AUS,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
AUS,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
AUS,tourism,true,denormalized from expanded_graph_nodes_v2.csv
AUS,government,true,denormalized from expanded_graph_nodes_v2.csv
BEL,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
BEL,automotive,false,denormalized from expanded_graph_nodes_v2.csv
BEL,electronics,false,denormalized from expanded_graph_nodes_v2.csv
BEL,aerospace,false,denormalized from expanded_graph_nodes_v2.csv
BEL,shipping,true,denormalized from expanded_graph_nodes_v2.csv
BEL,energy,false,denormalized from expanded_graph_nodes_v2.csv
BEL,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
BEL,banking,true,denormalized from expanded_graph_nodes_v2.csv
BEL,insurance,false,denormalized from expanded_graph_nodes_v2.csv
BEL,capital_markets,false,denormalized from expanded_graph_nodes_v2.csv
BEL,oil,false,denormalized from expanded_graph_nodes_v2.csv
BEL,gas,false,denormalized from expanded_graph_nodes_v2.csv
BEL,utilities,true,denormalized from expanded_graph_nodes_v2.csv
BEL,aviation,false,denormalized from expanded_graph_nodes_v2.csv
BEL,ports,true,denormalized from expanded_graph_nodes_v2.csv
BEL,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
BEL,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
BEL,tourism,true,denormalized from expanded_graph_nodes_v2.csv
BEL,government,true,denormalized from expanded_graph_nodes_v2.csv
BGD,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
BGD,automotive,false,denormalized from expanded_graph_nodes_v2.csv
BGD,electronics,false,denormalized from expanded_graph_nodes_v2.csv
BGD,aerospace,false,denormalized from expanded_graph_nodes_v2.csv
BGD,shipping,false,denormalized from expanded_graph_nodes_v2.csv
BGD,energy,false,denormalized from expanded_graph_nodes_v2.csv
BGD,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
BGD,banking,true,denormalized from expanded_graph_nodes_v2.csv
BGD,insurance,false,denormalized from expanded_graph_nodes_v2.csv
BGD,capital_markets,false,denormalized from expanded_graph_nodes_v2.csv
BGD,oil,false,denormalized from expanded_graph_nodes_v2.csv
BGD,gas,false,denormalized from expanded_graph_nodes_v2.csv
BGD,utilities,true,denormalized from expanded_graph_nodes_v2.csv
BGD,aviation,false,denormalized from expanded_graph_nodes_v2.csv
BGD,ports,false,denormalized from expanded_graph_nodes_v2.csv
BGD,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
BGD,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
BGD,tourism,true,denormalized from expanded_graph_nodes_v2.csv
BGD,government,true,denormalized from expanded_graph_nodes_v2.csv
BRA,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
BRA,automotive,true,denormalized from expanded_graph_nodes_v2.csv
BRA,electronics,false,denormalized from expanded_graph_nodes_v2.csv
BRA,aerospace,true,denormalized from expanded_graph_nodes_v2.csv
BRA,shipping,false,denormalized from expanded_graph_nodes_v2.csv
BRA,energy,true,denormalized from expanded_graph_nodes_v2.csv
BRA,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
BRA,banking,true,denormalized from expanded_graph_nodes_v2.csv
BRA,insurance,false,denormalized from expanded_graph_nodes_v2.csv
BRA,capital_markets,false,denormalized from expanded_graph_nodes_v2.csv
BRA,oil,true,denormalized from expanded_graph_nodes_v2.csv
BRA,gas,false,denormalized from expanded_graph_nodes_v2.csv
BRA,utilities,true,denormalized from expanded_graph_nodes_v2.csv
BRA,aviation,true,denormalized from expanded_graph_nodes_v2.csv
BRA,ports,true,denormalized from expanded_graph_nodes_v2.csv
BRA,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
BRA,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
BRA,tourism,true,denormalized from expanded_graph_nodes_v2.csv
BRA,government,true,denormalized from expanded_graph_nodes_v2.csv
CAN,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
CAN,automotive,true,denormalized from expanded_graph_nodes_v2.csv
CAN,electronics,false,denormalized from expanded_graph_nodes_v2.csv
CAN,aerospace,true,denormalized from expanded_graph_nodes_v2.csv
CAN,shipping,false,denormalized from expanded_graph_nodes_v2.csv
CAN,energy,true,denormalized from expanded_graph_nodes_v2.csv
CAN,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
CAN,banking,true,denormalized from expanded_graph_nodes_v2.csv
CAN,insurance,true,denormalized from expanded_graph_nodes_v2.csv
CAN,capital_markets,true,denormalized from expanded_graph_nodes_v2.csv
CAN,oil,true,denormalized from expanded_graph_nodes_v2.csv
CAN,gas,true,denormalized from expanded_graph_nodes_v2.csv
CAN,utilities,true,denormalized from expanded_graph_nodes_v2.csv
CAN,aviation,true,denormalized from expanded_graph_nodes_v2.csv
CAN,ports,false,denormalized from expanded_graph_nodes_v2.csv
CAN,telecommunications,true,denormalized from expanded_graph_nodes_v2.csv
CAN,agriculture,true,denormalized from expanded_graph_nodes_v2.csv
CAN,tourism,true,denormalized from expanded_graph_nodes_v2.csv
CAN,government,true,denormalized from expanded_graph_nodes_v2.csv
CHE,semiconductors,false,denormalized from expanded_graph_nodes_v2.csv
CHE,automotive,false,denormalized from expanded_graph_nodes_v2.csv
CHE,electronics,false,denormalized from expanded_graph_nodes_v2.csv
CHE,aerospace,false,denormalized from expanded_graph_nodes_v2.csv
CHE,shipping,false,denormalized from expanded_graph_nodes_v2.csv
CHE,energy,false,denormalized from expanded_graph_nodes_v2.csv
CHE,consumer_goods,true,denormalized from expanded_graph_nodes_v2.csv
CHE,banking,true,denormalized from expanded_graph_nodes_v2.csv
CHE,insurance,true,denormalized from expanded_graph_nodes_v2.csv
CHE,capital_markets,true,denormalized from expanded_graph_nodes_v2.csv
CHE,oil,false,denormalized from expanded_graph_nodes_v2.csv
CHE,gas,false,denormalized from expanded_graph_nodes_v2.csv
CHE,utilities,true,denormalized from expanded_graph_nodes_v2.csv
CHE,aviation,false,denormalized from expanded_graph_nodes_v2.csv
CHE,ports,false,denormalized from expanded_graph_nodes_v2.csv
