event_id,event_name,paper_id,paper_title,doi,source_type,publication_year,gdp_impact_pct,trade_impact_pct,inflation_impact_pct,market_impact_pct,recovery_duration_months,affected_sectors,affected_countries,uncertainty_lower,uncertainty_upper,confidence_score,notes
7,Global Financial Crisis,P-IMF-WEFS-2014-Ch7,"The Global Financial Crisis: How Similar? How Different? (Ch.7, WEFS 2014)",,IMF/OECD/BIS working paper,2014,-0.3,,,,,financial services;construction;durable manufacturing;exports,USA;EUR;GBR;JPN;emerging Europe (advanced + EM Europe),-0.5,-0.1,4,Convergence around -0.1 to -0.5% world GDP 2009; advanced econ large contractions; multi-year output below pre-crisis trend.
7,Global Financial Crisis,P-CEPR-Baldwin-2009,"The Great Trade Collapse (Baldwin ed., CEPR 2009)",,peer-reviewed journal,2009,,-15,,,,exports;manufactured goods,global; advanced economies most affected,,,4,World trade volume fell ~-15% peak-to-trough 2008Q1-2009Q1. Trade-to-GDP elasticity spikes above 3 in 2008-09.
7,Global Financial Crisis,P-OECD-2009-Reform,The Financial Crisis: Reform and Exit Strategies (OECD 2009),,official report indirect,2009,,,,,,financial;energy;manufactured goods,advanced economies,,,3,Documents collapse in energy and manufactured-goods prices; risk-spread spikes and bank equity declines (no single global index %).
11,"Tōhoku Earthquake, Tsunami & Fukushima Nuclear Crisis",P-Inoue-Todo-2016,The economic impact of supply chain disruptions from the Great East Japan Earthquake,10.1016/j.japwor.2015.08.001,peer-reviewed journal,2016,-0.35,-0.35,,,12,automotive;electronics,JPN;foreign trading partners via supply chains,-1.6,-0.35,5,Lower-bound ≥0.35% Japan GDP from supply-chain alone; local direct damage ~1.6% baseline scenario. Persistent but declining gaps over ~1 year.
11,"Tōhoku Earthquake, Tsunami & Fukushima Nuclear Crisis",P-Carvalho-QJE,Supply Chain Disruptions: Evidence from the Great East Japan Earthquake,10.1093/qje/qjaa044,peer-reviewed journal,2021,-0.47,,,,,automotive;electronics,JPN,-1.4,-0.35,5,Supply-chain disruptions magnify macro impact 3-4x relative to local direct damage. Sectoral stock-price declines discussed qualitatively.
17,COVID-19 Global Pandemic,P-EAP-2023,The impact of COVID-19 pandemic on global GDP growth,10.1016/j.eap.2023.03.010,peer-reviewed journal,2023,-3,-5.3,,,24,services;tourism;contact-intensive,panel of 90 countries (advanced+emerging+developing),,,5,"Panel estimate; trade -5.3% goods, -9.2% goods+services. Lockdown stringency reduces quarterly GDP growth (semi-elasticities reported, no single inflation %)."
17,COVID-19 Global Pandemic,P-ANU-GCubed-2023,The global economic impacts of the COVID-19 pandemic (G-Cubed),,IMF/OECD/BIS working paper,2023,,-9.2,,,24,labor;sectoral productivity;consumption;government expenditure;risk premia,"global, multisector",,,4,G-Cubed scenario bands vs realized 2020-2021 GDP used as uncertainty band. Effect measured over 8 quarters.
18,Global Semiconductor Chip Shortage,P-IMF-WP-22-061-Shipping,Shipping Costs and Inflation,10.5089/9798400202211.001,IMF/OECD/BIS working paper,2022,,,0.7,,,automotive;consumer electronics;ICT;industrial machinery,TWN;KOR;USA;EU (producers); USA;DEU;JPN;MEX;CHN (downstream),,,4,100% increase in global shipping costs raises inflation ~0.7pp. Semiconductor shortage contributes to those cost pressures; chip component NOT isolated numerically in this paper. Regression-based CIs on inflation effects implied.
19,Ever Given Suez Canal Blockage,P-Hummels-Schaur-AER-2013,Time as a Trade Barrier,10.1257/aer.103.7.2935,peer-reviewed journal,2013,,-1.45,,,0,container shipping;bulk commodities;JIT manufacturing,EU;Gulf states;Asian economies (Europe-Asia + MENA-Europe trade lanes),-0.6,-2.3,5,"Delay-cost framework: 0.6-2.3% of cargo value PER DAY of delay. Applied to Suez ~6.5 days yields multi-percentage value losses on delayed cargo, NOT global trade-volume %. AER paper itself was not about Ever Given — confidence is for the delay-cost methodology applied to Ever Given."
21,Russia Invasion of Ukraine & Global Sanctions,P-IMF-WP-24-039,Medium-Term Macroeconomic Effects of Russia's War in Ukraine and the Subsequent Energy Crisis,,IMF/OECD/BIS working paper,2024,-1.5,,,,60,energy;agriculture (grains;fertilizers);metals,UKR;RUS;EU;MENA;Sub-Saharan Africa,,,4,IMF VAR/DSGE simulations: GDP ~1.5% below baseline 5 years post-conflict. Country-level impacts vary widely with energy dependence. Energy >50% of HICP in 2022 in many EU economies (no single coefficient).
21,Russia Invasion of Ukraine & Global Sanctions,P-IMF-FD-2022,The Long-lasting Economic Shock of War (F&D),,official report indirect,2022,,,,,120,energy;agriculture,UKR;RUS;EU;MENA;SSA,,,3,5-10y window for medium-term war effects. Sovereign-spread widening + currency depreciation reported as bp not %.
22,European Natural Gas & Energy Crisis,P-IMF-WP-24-027-EnergyResilience,Firms' Resilience to Energy Shocks and Response to Fiscal Support in the Euro Area,,IMF/OECD/BIS working paper,2024,-0.7,-3.5,,,36,chemicals;basic metals;paper;glass;ceramics;utilities,DEU;ITA;AUT;CEE;euro area,-4,-3,4,10% PERMANENT energy-price rise lowers EUA output ~0.7% medium-term. 2022 shock orders of magnitude larger but partly cushioned. CA deterioration ~3-4 pp of GDP in 2022. Real GDP below baseline through 2024+.
22,European Natural Gas & Energy Crisis,P-SUERF-Energy-2022,Energy price shocks and inflation in the euro area (SUERF Policy Note),,official report indirect,2022,,,0.4,,,energy;utilities;energy-intensive manufacturing,euro area,0.3,0.5,3,Energy price shocks account for ~2/3 of 2022 euro area inflation surge. 10% gas-price increase → 0.3-0.5 pp headline inflation (point estimate band).
