event_id,event_name,country,sector,geds_node_id,node_in_graph
1,Dot-com Bubble Collapse & US Recession,USA,technology,USA:technology,False
1,Dot-com Bubble Collapse & US Recession,USA,telecommunications,USA:telecommunications,False
1,Dot-com Bubble Collapse & US Recession,USA,financial,USA:financial,False
1,Dot-com Bubble Collapse & US Recession,DEU,technology,DEU:technology,False
1,Dot-com Bubble Collapse & US Recession,DEU,telecommunications,DEU:telecommunications,False
1,Dot-com Bubble Collapse & US Recession,DEU,financial,DEU:financial,False
1,Dot-com Bubble Collapse & US Recession,JPN,technology,JPN:technology,False
1,Dot-com Bubble Collapse & US Recession,JPN,telecommunications,JPN:telecommunications,False
1,Dot-com Bubble Collapse & US Recession,JPN,financial,JPN:financial,False
1,Dot-com Bubble Collapse & US Recession,KOR,technology,KOR:technology,False
1,Dot-com Bubble Collapse & US Recession,KOR,telecommunications,KOR:telecommunications,False
1,Dot-com Bubble Collapse & US Recession,KOR,financial,KOR:financial,False
1,Dot-com Bubble Collapse & US Recession,GBR,technology,GBR:technology,False
1,Dot-com Bubble Collapse & US Recession,GBR,telecommunications,GBR:telecommunications,False
1,Dot-com Bubble Collapse & US Recession,GBR,financial,GBR:financial,False
1,Dot-com Bubble Collapse & US Recession,FRA,technology,FRA:technology,False
1,Dot-com Bubble Collapse & US Recession,FRA,telecommunications,FRA:telecommunications,False
1,Dot-com Bubble Collapse & US Recession,FRA,financial,FRA:financial,False
2,Argentine Sovereign Default & Currency Crisis,ARG,financial,ARG:financial,False
2,Argentine Sovereign Default & Currency Crisis,ARG,government,ARG:government,False
2,Argentine Sovereign Default & Currency Crisis,ARG,agriculture,ARG:agriculture,False
2,Argentine Sovereign Default & Currency Crisis,ARG,manufacturing,ARG:manufacturing,False
2,Argentine Sovereign Default & Currency Crisis,BRA,financial,BRA:financial,False
2,Argentine Sovereign Default & Currency Crisis,BRA,government,BRA:government,False
2,Argentine Sovereign Default & Currency Crisis,BRA,agriculture,BRA:agriculture,False
2,Argentine Sovereign Default & Currency Crisis,BRA,manufacturing,BRA:manufacturing,False
2,Argentine Sovereign Default & Currency Crisis,URY,financial,URY:financial,False
2,Argentine Sovereign Default & Currency Crisis,URY,government,URY:government,False
2,Argentine Sovereign Default & Currency Crisis,URY,agriculture,URY:agriculture,False
2,Argentine Sovereign Default & Currency Crisis,URY,manufacturing,URY:manufacturing,False
2,Argentine Sovereign Default & Currency Crisis,BOL,financial,BOL:financial,False
2,Argentine Sovereign Default & Currency Crisis,BOL,government,BOL:government,False
2,Argentine Sovereign Default & Currency Crisis,BOL,agriculture,BOL:agriculture,False
