source,target,edge_type,industry,dependency_weight,flow_value_usd,substitution_difficulty,rerouting_capability,resilience_coefficient,recovery_delay_weeks,evidence_source
CHN:electronics,JPN:electronics,trade,electronics,0.7477,33917878580.3,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8517&y
CHN:electronics,TWN:electronics,trade,electronics,0.7391,7267792626.61,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8517&y
CHN:electronics,THA:electronics,trade,electronics,0.6064,7196828659.58,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y
CHN:electronics,VNM:electronics,trade,electronics,0.5552,10639606820.33,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8517&y
CHN:electronics,MEX:electronics,trade,electronics,0.5452,14492365680.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y
CHN:electronics,USA:electronics,trade,electronics,0.5411,117377305036.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8517&y
CHN:electronics,KOR:electronics,trade,electronics,0.5336,11305692226.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8517&y
USA:automotive,MEX:automotive,trade,automotive,0.486,19011552540.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y
CHN:electronics,DEU:electronics,trade,electronics,0.4826,25794905234.91,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8517&y
CHN:electronics,MYS:electronics,trade,electronics,0.4786,3456279018.93,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y
CHN:electronics,IND:electronics,trade,electronics,0.4344,9688881484.38,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y
MYS:semiconductors,USA:semiconductors,trade,semiconductors,0.422,18736376250.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y
CHN:semiconductors,KOR:semiconductors,trade,semiconductors,0.409,16646898353.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y
DEU:automotive,KOR:automotive,trade,automotive,0.3842,5888002012.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y
