source,target,edge_type,industry,dependency_weight,flow_value_usd,substitution_difficulty,rerouting_capability,resilience_coefficient,recovery_delay_weeks,evidence_source
AUS:banking,AUS:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
AUS:banking,AUS:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
AUS:insurance,AUS:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
AUS:insurance,AUS:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
AUS:capital_markets,AUS:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
AUS:capital_markets,AUS:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CAN:banking,CAN:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CAN:banking,CAN:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CAN:insurance,CAN:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CAN:insurance,CAN:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CAN:capital_markets,CAN:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CAN:capital_markets,CAN:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHE:banking,CHE:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHE:banking,CHE:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHE:insurance,CHE:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHE:insurance,CHE:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHE:capital_markets,CHE:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHE:capital_markets,CHE:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHN:banking,CHN:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHN:banking,CHN:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHN:insurance,CHN:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHN:insurance,CHN:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHN:capital_markets,CHN:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
CHN:capital_markets,CHN:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
DEU:banking,DEU:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
DEU:banking,DEU:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
DEU:insurance,DEU:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
DEU:insurance,DEU:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
DEU:capital_markets,DEU:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
DEU:capital_markets,DEU:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
FRA:banking,FRA:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
FRA:banking,FRA:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
FRA:insurance,FRA:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
FRA:insurance,FRA:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
FRA:capital_markets,FRA:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
FRA:capital_markets,FRA:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
GBR:banking,GBR:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
GBR:banking,GBR:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
GBR:insurance,GBR:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
GBR:insurance,GBR:capital_markets,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
GBR:capital_markets,GBR:banking,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
GBR:capital_markets,GBR:insurance,intra_country_finance,financial,0.65,0,0.7,0.2,0.2,4.0,hardcoded: financial sector cross-coupling per country
