source,target,flow_usd_m,input_share,penetration
TWN:electronics_c26,CHN:electronics_c26,42526.3,0.03029,0.05116
KOR:electronics_c26,CHN:electronics_c26,39797.4,0.02834,0.04788
CHN:consumer_goods,CHN:automotive,20221.7,0.02711,0.97154
JPN:electronics_c26,CHN:electronics_c26,16883.4,0.01202,0.02031
VNM:electronics_c26,CHN:electronics_c26,16203.4,0.01154,0.01949
CHN:electronics_c26,CHN:automotive,15263.8,0.02046,0.76288
MEX:automotive,USA:automotive,14011.7,0.02717,0.11744
KOR:electronics_c26,VNM:electronics_c26,13850.4,0.13457,0.17731
CHN:electronics_c26,VNM:electronics_c26,13660.6,0.13273,0.17488
CHN:electronics_c26,KOR:electronics_c26,12996.9,0.06946,0.13718
CHN:electronics_c26,MEX:electronics_c26,12830.2,0.16434,0.30503
SGP:electronics_c26,CHN:electronics_c26,11507.4,0.0082,0.01384
USA:automotive,CAN:automotive,11213.6,0.18227,0.38628
MYS:electronics_c26,CHN:electronics_c26,10538.8,0.00751,0.01268
CHN:electronics_c26,TWN:electronics_c26,10124.5,0.07544,0.16385
USA:electronics_c26,CHN:electronics_c26,9912.5,0.00706,0.01193
CHN:consumer_goods,VNM:consumer_goods,9532.3,0.06929,0.22916
CHN:consumer_goods,CHN:electronics_c26,9520.9,0.00678,0.89732
USA:electronics_c26,USA:automotive,9316.9,0.01806,0.53958
CHN:shipping,CHN:consumer_goods,7822.3,0.00291,0.86839
CHN:shipping,CHN:electronics_c26,7472.4,0.00532,0.81207
DEU:electronics_c26,CHN:electronics_c26,7392.0,0.00526,0.00889
DEU:aerospace,FRA:aerospace,7253.3,0.07254,0.11893
THA:electronics_c26,CHN:electronics_c26,7196.8,0.00513,0.00866
USA:aerospace,FRA:aerospace,6981.7,0.06983,0.11448
USA:automotive,MEX:automotive,6934.9,0.0525,0.22316
JPN:automotive,USA:automotive,6669.2,0.01293,0.0559
CHN:electronics_c26,JPN:electronics_c26,6524.5,0.06244,0.21472
CHN:electronics_c26,SGP:electronics_c26,6154.0,0.08692,0.16737
CHN:electronics_c26,CHN:consumer_goods,6084.5,0.00227,0.75005
CAN:automotive,USA:automotive,5739.2,0.01113,0.0481
DEU:automotive,CHN:automotive,5564.4,0.00746,0.01784
CHN:electronics_c26,THA:electronics_c26,5439.1,0.06335,0.12112
KOR:electronics_c26,KOR:automotive,5330.0,0.03622,0.74705
JPN:automotive,CHN:automotive,5264.6,0.00706,0.01688
CHN:consumer_goods,BGD:consumer_goods,4773.3,0.08637,0.16795
IND:consumer_goods,IND:electronics_c26,4763.0,0.15226,0.99205
TWN:electronics_c26,SGP:electronics_c26,4647.3,0.06564,0.12639
JPN:automotive,JPN:consumer_goods,4599.0,0.01184,0.92394
CHN:electronics_c26,USA:electronics_c26,4571.3,0.03766,0.19511
CHN:consumer_goods,ROW:consumer_goods,4475.6,0.01416,0.06368
DEU:consumer_goods,DEU:automotive,4291.0,0.01483,0.74599
CZE:automotive,DEU:automotive,4204.8,0.01453,0.03711
JPN:electronics_c26,JPN:automotive,4198.6,0.01194,0.58284
