node_id,country_iso3,industry,type,in_g20,centrality,vulnerability,resilience,amplification,threshold,recovery_delay_weeks,inventory_weeks,pass_through,elasticity,labor_intensity,evidence_source
ARE:energy,ARE,energy,country_industry,False,0.5,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ARE:shipping,ARE,shipping,country_industry,False,0.5,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ARG:automotive,ARG,automotive,country_industry,True,0.35,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ARG:consumer_goods,ARG,consumer_goods,country_industry,True,0.35,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
AUS:energy,AUS,energy,country_industry,True,0.45,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
AUS:consumer_goods,AUS,consumer_goods,country_industry,True,0.45,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
BEL:consumer_goods,BEL,consumer_goods,country_industry,False,0.45,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
BEL:shipping,BEL,shipping,country_industry,False,0.45,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
BRA:automotive,BRA,automotive,country_industry,True,0.55,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
BRA:energy,BRA,energy,country_industry,True,0.55,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
