node_id,country_iso3,industry,kind,centrality,vulnerability,resilience,amplification,threshold,recovery_delay_weeks,inventory_weeks,pass_through,elasticity,labor_intensity,gdp_usd
ARE:agriculture,ARE,agriculture,country_industry,0.5,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,5000000000.0
ARE:aviation,ARE,aviation,country_industry,0.5,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,5000000000.0
ARE:banking,ARE,banking,country_industry,0.5,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,5000000000.0
ARE:consumer_goods,ARE,consumer_goods,country_industry,0.5,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,5000000000.0
ARE:energy,ARE,energy,country_industry,0.5,0.65,0.5,0.7,0.3,10,3,0.5,0.5,0.5,5000000000.0
ARE:government,ARE,government,country_industry,0.5,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,5000000000.0
ARE:oil,ARE,oil,country_industry,0.5,0.6,0.5,0.6,0.3,12,13,0.5,0.5,0.5,5000000000.0
ARE:ports,ARE,ports,country_industry,0.5,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,5000000000.0
ARE:shipping,ARE,shipping,country_industry,0.5,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,5000000000.0
ARE:telecommunications,ARE,telecommunications,country_industry,0.5,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,5000000000.0
ARE:tourism,ARE,tourism,country_industry,0.5,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,5000000000.0
ARE:utilities,ARE,utilities,country_industry,0.5,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,5000000000.0
ARG:agriculture,ARG,agriculture,country_industry,0.35,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,3500000000.0
ARG:automotive,ARG,automotive,country_industry,0.35,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,3500000000.0
ARG:banking,ARG,banking,country_industry,0.35,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,3500000000.0
