node_id,country_iso3,industry,icio_codes,output_usd_m,world_sector_share
AGO:electronics_c26,AGO,electronics_c26,C26,633.9,0.00016
AGO:automotive,AGO,automotive,C29,1032.8,0.00025
AGO:aerospace,AGO,aerospace,C302T309,19.8,2e-05
AGO:consumer_goods,AGO,consumer_goods,C10T12+C13T15+C31T33,3620.0,0.0003
AGO:shipping,AGO,shipping,H50,636.7,0.00077
ARE:electronics_c26,ARE,electronics_c26,C26,10325.1,0.00254
ARE:automotive,ARE,automotive,C29,5538.4,0.00132
ARE:aerospace,ARE,aerospace,C302T309,1988.8,0.00195
ARE:consumer_goods,ARE,consumer_goods,C10T12+C13T15+C31T33,28325.9,0.00238
ARE:shipping,ARE,shipping,H50,6517.3,0.0079
ARG:electronics_c26,ARG,electronics_c26,C26,3333.2,0.00082
ARG:automotive,ARG,automotive,C29,12432.9,0.00296
ARG:aerospace,ARG,aerospace,C302T309,569.3,0.00056
ARG:consumer_goods,ARG,consumer_goods,C10T12+C13T15+C31T33,82377.5,0.00691
ARG:shipping,ARG,shipping,H50,311.1,0.00038
AUS:electronics_c26,AUS,electronics_c26,C26,8215.3,0.00202
AUS:automotive,AUS,automotive,C29,7753.2,0.00184
AUS:aerospace,AUS,aerospace,C302T309,6657.6,0.00652
AUS:consumer_goods,AUS,consumer_goods,C10T12+C13T15+C31T33,97957.8,0.00822
AUS:shipping,AUS,shipping,H50,7004.8,0.00849
AUT:electronics_c26,AUT,electronics_c26,C26,10959.4,0.00269
AUT:automotive,AUT,automotive,C29,21769.2,0.00518
AUT:aerospace,AUT,aerospace,C302T309,3991.2,0.00391
AUT:consumer_goods,AUT,consumer_goods,C10T12+C13T15+C31T33,43831.2,0.00368
AUT:shipping,AUT,shipping,H50,372.0,0.00045
BEL:electronics_c26,BEL,electronics_c26,C26,4744.6,0.00117
BEL:automotive,BEL,automotive,C29,16133.8,0.00384
BEL:aerospace,BEL,aerospace,C302T309,2546.7,0.0025
BEL:consumer_goods,BEL,consumer_goods,C10T12+C13T15+C31T33,66033.6,0.00554
BEL:shipping,BEL,shipping,H50,3729.6,0.00452
BGD:electronics_c26,BGD,electronics_c26,C26,830.6,0.0002
BGD:automotive,BGD,automotive,C29,160.4,4e-05
BGD:aerospace,BGD,aerospace,C302T309,821.0,0.0008
BGD:consumer_goods,BGD,consumer_goods,C10T12+C13T15+C31T33,102020.0,0.00856
BGD:shipping,BGD,shipping,H50,5694.0,0.0069
BGR:electronics_c26,BGR,electronics_c26,C26,774.3,0.00019
BGR:automotive,BGR,automotive,C29,1384.0,0.00033
BGR:aerospace,BGR,aerospace,C302T309,520.5,0.00051
BGR:consumer_goods,BGR,consumer_goods,C10T12+C13T15+C31T33,11075.3,0.00093
BGR:shipping,BGR,shipping,H50,220.6,0.00027
BLR:electronics_c26,BLR,electronics_c26,C26,1225.5,0.0003
BLR:automotive,BLR,automotive,C29,2718.3,0.00065
BLR:aerospace,BLR,aerospace,C302T309,256.5,0.00025
BLR:consumer_goods,BLR,consumer_goods,C10T12+C13T15+C31T33,19140.5,0.00161
BLR:shipping,BLR,shipping,H50,1368.1,0.00166
BRA:electronics_c26,BRA,electronics_c26,C26,26540.9,0.00652
BRA:automotive,BRA,automotive,C29,76793.1,0.01826
BRA:aerospace,BRA,aerospace,C302T309,7935.0,0.00777
BRA:consumer_goods,BRA,consumer_goods,C10T12+C13T15+C31T33,278033.8,0.02333
BRA:shipping,BRA,shipping,H50,5822.3,0.00706
BRN:electronics_c26,BRN,electronics_c26,C26,9.7,0.0
BRN:automotive,BRN,automotive,C29,0.0,0.0
BRN:aerospace,BRN,aerospace,C302T309,15.9,2e-05
BRN:consumer_goods,BRN,consumer_goods,C10T12+C13T15+C31T33,95.9,1e-05
BRN:shipping,BRN,shipping,H50,280.3,0.00034
CAN:electronics_c26,CAN,electronics_c26,C26,12616.7,0.0031
CAN:automotive,CAN,automotive,C29,76510.3,0.0182
CAN:aerospace,CAN,aerospace,C302T309,28983.7,0.0284
CAN:consumer_goods,CAN,consumer_goods,C10T12+C13T15+C31T33,135732.8,0.01139
CAN:shipping,CAN,shipping,H50,3729.5,0.00452
CHE:electronics_c26,CHE,electronics_c26,C26,64753.0,0.0159
CHE:automotive,CHE,automotive,C29,2058.5,0.00049
CHE:aerospace,CHE,aerospace,C302T309,6284.7,0.00616
CHE:consumer_goods,CHE,consumer_goods,C10T12+C13T15+C31T33,71902.0,0.00603
CHE:shipping,CHE,shipping,H50,23383.4,0.02835
CHL:electronics_c26,CHL,electronics_c26,C26,10043.9,0.00247
CHL:automotive,CHL,automotive,C29,0.0,0.0
CHL:aerospace,CHL,aerospace,C302T309,733.9,0.00072
CHL:consumer_goods,CHL,consumer_goods,C10T12+C13T15+C31T33,40369.2,0.00339
CHL:shipping,CHL,shipping,H50,1181.6,0.00143
CHN:electronics_c26,CHN,electronics_c26,C26,1713857.5,0.42085
CHN:automotive,CHN,automotive,C29,975608.2,0.23202
CHN:aerospace,CHN,aerospace,C302T309,168959.2,0.16554
CHN:consumer_goods,CHN,consumer_goods,C10T12+C13T15+C31T33,3631716.6,0.30475
CHN:shipping,CHN,shipping,H50,198142.7,0.24023
CIV:electronics_c26,CIV,electronics_c26,C26,0.0,0.0
CIV:automotive,CIV,automotive,C29,181.7,4e-05
CIV:aerospace,CIV,aerospace,C302T309,37.0,4e-05
CIV:consumer_goods,CIV,consumer_goods,C10T12+C13T15+C31T33,13332.9,0.00112
CIV:shipping,CIV,shipping,H50,261.2,0.00032
CMR:electronics_c26,CMR,electronics_c26,C26,9.0,0.0
CMR:automotive,CMR,automotive,C29,12.4,0.0
CMR:aerospace,CMR,aerospace,C302T309,4.1,0.0
CMR:consumer_goods,CMR,consumer_goods,C10T12+C13T15+C31T33,7281.7,0.00061
CMR:shipping,CMR,shipping,H50,393.4,0.00048
COD:electronics_c26,COD,electronics_c26,C26,1.1,0.0
COD:automotive,COD,automotive,C29,710.6,0.00017
COD:aerospace,COD,aerospace,C302T309,0.8,0.0
COD:consumer_goods,COD,consumer_goods,C10T12+C13T15+C31T33,13003.0,0.00109
COD:shipping,COD,shipping,H50,339.9,0.00041
COL:electronics_c26,COL,electronics_c26,C26,2006.9,0.00049
COL:automotive,COL,automotive,C29,2464.9,0.00059
