registry_id,title,authors,year,journal,doi,citation_count,research_area,methodology,dataset_used,main_findings,limitations,geds_relevance_score,confidence,primary_source,cross_ref
P1,The Network Origins of Aggregate Fluctuations,"Acemoglu, Carvalho, Ozdaglar, Tahbaz-Salehi",2012,Econometrica 80(5):1977–2016,10.3982/ECTA9623,"~4,200",,Theoretical: Input-output network model; Hulten's theorem extension; spectral analysis of Leontief matrix; sector-level Domar weights,US BEA Input-Output Tables (1972–1997); 400 sectors,"Idiosyncratic shocks aggregate into macro fluctuations when network is non-symmetric; cascade effects travel through upstream-downstream linkages; volatility decay is determined by network topology, not law of large numbers",Static model; fixed input-output coefficients; no firm-level heterogeneity; no financial frictions,10,5,papers_catalog.csv,
P2,Supply Chain Disruptions: Evidence from the Great East Japan Earthquake,"Carvalho, Nirei, Saito, Tahbaz-Salehi",2021,Quarterly Journal of Economics 136(2):1255–1321,10.1093/qje/qjaa044,"~1,100",,Causal: Difference-in-differences using spatial exogeneity of earthquake; GE production network model; upstream/downstream propagation estimation,"Interfirm transaction network (RIETI Japan), ~1M firm pairs; firm-level sales/output data 2009–2012; Geographic disaster damage data",Earthquake caused −0.47 pp Japan GDP; shocks propagated both upstream and downstream beyond tier-1; indirect effects larger than direct; network topology determines amplification magnitude,Japan-specific institutional context; does not model substitution across suppliers over time; single country,10,5,papers_catalog.csv,
P3,Systemic Risk and Stability in Financial Networks,"Acemoglu, Ozdaglar, Tahbaz-Salehi",2015,American Economic Review 105(2):564–608,10.1257/aer.20130456,"~2,600",,Theoretical: Network model of interbank liabilities; phase-transition analysis; shock magnitude threshold analysis,"Stylized financial networks (ring, complete, and arbitrary structure) calibrated to interbank exposure data","Financial contagion exhibits phase transition: dense networks are stabilizing for small shocks but amplify large shocks; ""robust-yet-fragile"" structure; beyond threshold, interconnection spreads rather than absorbs shocks",Stylized network topology; static; no dynamics post-default; limited empirical calibration,9,5,papers_catalog.csv,
P4,Systemic Risk in Banking Ecosystems,"Haldane, May",2011,Nature 469(7330):351–355,10.1038/nature09659,"~2,800",,Ecological analogy: Food-web network stability models applied to banking; SIR-like epidemiological diffusion on financial networks; complexity-stability tradeoff analysis,Stylized financial network inspired by Bank of England balance sheet data; topology experiments,Financial networks exhibit same complexity-fragility dynamics as ecological food webs; diversity of institutions reduces correlation risk; homogenization of bank balance sheets raised systemic fragility pre-2008; policy lesson: targeted buffers for systemically important nodes,Highly stylized; no empirical calibration against actual bank data; does not model liquidity or fire-sale dynamics,9,5,papers_catalog.csv,
P5,The Macroeconomics of Epidemics,"Eichenbaum, Rebelo, Trabandt",2021,Review of Financial Studies 34(11):5149–5187,10.1093/rfs/hhab040,"~1,900",,SEIR-macro hybrid: SIR epidemiological model embedded in standard macro model; rational agents choose consumption/labor to reduce infection risk; competitive equilibrium vs. social optimum,"US COVID-19 infection, hospitalization, and fatality data (2020); US macro aggregates (NIPA, BLS)","Pandemic acts as simultaneous supply-demand shock; rational agents endogenously reduce consumption/work, worsening recession; social optimum saves ~500K US lives vs. competitive equilibrium; containment policy trades recession depth for lives saved",Rational expectations assumption during acute crisis; no financial sector; homogeneous agents; no trade channel,10,5,papers_catalog.csv,
P6,Financial Contagion,"Allen, Gale",2000,Journal of Political Economy 108(1):1–33,10.1086/262109,"~6,800",,Theoretical: Diamond-Dybvig banking model extended to networks; incomplete vs. complete interbank market structures; liquidity shock contagion equilibrium model,Stylized interbank network (ring and complete graph); abstract region structure,"First formal equilibrium model of financial contagion; incomplete interbank structures are fragile — small regional shocks cascade; complete networks more robust than incomplete; contagion is an equilibrium, not a market failure per se",Three-region stylized model; no empirical application; abstracts from asset price dynamics and fire sales,8,5,papers_catalog.csv,
P7,"Liaisons Dangereuses: Increasing Connectivity, Risk Sharing, and Systemic Risk","Battiston, Delli Gatti, Gallegati, Greenwald, Stiglitz",2012,Journal of Economic Dynamics & Control 36(8):1121–1141,10.1016/j.jedc.2012.04.001,"~1,100",,ABM/stochastic: Coupled stochastic processes for individual financial robustness; credit network with financial accelerator; default cascade; Monte Carlo simulation of systemic default probability,Stylized credit network; Monte Carlo experiments over varying density parameters,"Financial network is most resilient at intermediate connectivity, not maximal; financial accelerator makes individual fragility self-reinforcing; above connectivity threshold, default risk (individual and systemic) increases; diversification has non-monotonic systemic effects","Highly stylized; no empirical network data; financial accelerator assumed, not derived",9,5,papers_catalog.csv,
P8,Financial Networks and Contagion,"Elliott, Golub, Jackson",2014,American Economic Review 104(10):3115–3153,10.1257/aer.104.10.3115,"~2,100",,Network theory: Graph-theoretic cascade model; integration and diversification as network parameters; discontinuous threshold failures; comparative statics on cascade extent,European sovereign debt cross-holdings matrix (2012 EBA stress tests); stylized organization networks,"Integration and diversification have nonmonotonic effects: initial diversification enables cascades, then prevents them; integration increases exposure to partners while reducing own-investment sensitivity; regime changes in cascade size with network parameters",Static model; no dynamic adjustment; no endogenous recovery or policy response,9,5,papers_catalog.csv,
P9,The Building Blocks of Economic Complexity,"Hidalgo, Hausmann",2009,PNAS 106(26):10570–10575,10.1073/pnas.0900943106,"~5,200",,Network science: Bipartite country-product export network; method of reflections (iterative algorithm); ECI and PCI derived from eigenvectors of incidence matrix,"SITC Rev. 2 bilateral trade data (1962–2000); 128 countries, 779 products (threshold: >$1M, >0.1% world exports)",ECI predicts future GDP growth better than standard macro variables; countries converge to income levels dictated by complexity; deviations from ECI-income relation predict growth; product space constrains economic diversification paths,Export data only (no services); RCA threshold introduces binary classification; method of reflections convergence issues in sparse networks,9,5,papers_catalog.csv,
P10,The Granular Origins of Aggregate Fluctuations,Gabaix,2011,Econometrica 79(3):733–772,10.3982/ECTA8769,"~3,100",,Granularity theory: Power-law firm size distribution; idiosyncratic shock aggregation with fat-tailed size distribution; Compustat data calibration; cross-sector variance decomposition,Compustat US firm-level data; 100 largest US firms; BEA output data 1951–2008,Top 100 US firms explain ~1/3 of output variation and Solow residual; fat-tailed size distribution means idiosyncratic shocks don't average out; granularity hypothesis provides microfoundation for aggregate productivity shocks,US-centric; firm-level data quality dependent on Compustat coverage; macro identification challenges,8,5,papers_catalog.csv,
