mechanism,parameter,value,mae,delta_mae,rmse,delta_rmse,r_squared,delta_r_squared
baseline,—,current,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,inventory_scale,0.1,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,inventory_scale,0.5,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,inventory_scale,1.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,inventory_scale,2.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,inventory_scale,5.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,seis_enabled,True,0.15771,0.0,0.27578,0.0,-0.2925,0.0
SEIRS,seis_enabled,False,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Bullwhip,bullwhip_factor,1.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Bullwhip,bullwhip_factor,1.25,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Bullwhip,bullwhip_factor,1.5,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Bullwhip,bullwhip_factor,1.75,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Bullwhip,bullwhip_factor,2.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,r_output_floor,0.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,r_output_floor,0.15,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,r_output_floor,0.3,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,r_output_floor,0.45,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,r_output_floor,0.6,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,distress_week_threshold,1,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,distress_week_threshold,3,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,distress_week_threshold,6,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,distress_week_threshold,12,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Hysteresis,distress_week_threshold,26,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Amplification,amplification_mu,0.0,0.15919,0.00148,0.2768,0.00102,-0.3021,-0.0096
Amplification,amplification_mu,1.0,0.15883,0.00112,0.2766,0.00083,-0.3002,-0.0078
Amplification,amplification_mu,2.0,0.15845,0.00074,0.27637,0.00059,-0.298,-0.0055
Amplification,amplification_mu,3.0,0.15811,0.0004,0.27609,0.00032,-0.2954,-0.003
Amplification,amplification_mu,4.0,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Amplification,amplification_mu,5.0,0.15725,-0.00045,0.27546,-0.00032,-0.2895,0.003
Amplification,amplification_eps,0.01,0.15919,0.00148,0.2768,0.00102,-0.3021,-0.0096
Amplification,amplification_eps,0.06,0.15917,0.00146,0.27679,0.00102,-0.302,-0.0095
Amplification,amplification_eps,0.1,0.15895,0.00124,0.27669,0.00091,-0.301,-0.0086
Amplification,amplification_eps,0.15,0.15833,0.00062,0.27633,0.00055,-0.2977,-0.0052
Amplification,amplification_eps,0.2,0.15771,0.0,0.27578,0.0,-0.2925,0.0
Amplification,propagation_decay,0.5,0.15992,0.00221,0.27736,0.00158,-0.3073,-0.0148
Amplification,propagation_decay,0.7,0.15906,0.00135,0.27686,0.00108,-0.3026,-0.0102
Amplification,propagation_decay,0.85,0.15832,0.00061,0.27633,0.00055,-0.2976,-0.0051
Amplification,propagation_decay,0.95,0.15789,0.00018,0.27593,0.00015,-0.2939,-0.0014
Amplification,propagation_decay,0.99,0.15772,1e-05,0.27578,0.0,-0.2925,-0.0
Recovery,recovery_rate,0.01,0.1577,-1e-05,0.27576,-2e-05,-0.2923,0.0002
Recovery,recovery_rate,0.05,0.16003,0.00232,0.27707,0.00129,-0.3046,-0.0122
Recovery,recovery_rate,0.1,0.16048,0.00277,0.27746,0.00169,-0.3083,-0.0158
Recovery,recovery_rate,0.2,0.16087,0.00316,0.27784,0.00207,-0.3119,-0.0194
Recovery,recovery_rate,0.3,0.16104,0.00333,0.27799,0.00221,-0.3133,-0.0208
