event_id,graph_nodes_affected,shock_origin_nodes,primary_sectors,secondary_sectors,estimated_initial_shock_strength,duration_weeks
1,UNCERTAIN,UNCERTAIN,technology,telecommunications;financial,0.48,130
2,UNCERTAIN,UNCERTAIN,financial,government;agriculture;manufacturing,1.00,209
3,CHN:consumer_goods,CHN:consumer_goods,tourism,consumer_goods;aerospace,0.26,35
4,USA:shipping,IRQ:energy,energy,defense;government;shipping;agriculture,0.05,4
5,UNCERTAIN,IDN:consumer_goods,agriculture,tourism;construction;real_estate,1.00,521
6,USA:shipping,USA:energy;USA:shipping,energy,shipping;financial;real_estate;tourism,0.31,78
7,UNCERTAIN,USA:financial,financial,real_estate;automotive;manufacturing,0.13,78
8,UNCERTAIN,UNCERTAIN,healthcare,tourism;aerospace;consumer_goods,0.05,70
9,UNCERTAIN,UNCERTAIN,financial,government,1.00,261
10,UNCERTAIN,UNCERTAIN,energy,tourism;government;agriculture,1.00,UNCERTAIN
11,JPN:automotive;JPN:electronics;USA:automotive;USA:electronics;DEU:automotive;DEU:electronics;THA:automotive;THA:electronics;VNM:electronics;MYS:electronics,JPN:automotive;JPN:electronics;JPN:semiconductors,automotive,electronics;energy;chemicals;manufacturing,0.09,52
12,UNCERTAIN,UNCERTAIN,energy,financial;defense;technology,0.22,UNCERTAIN
13,UNCERTAIN,UNCERTAIN,construction,tourism;agriculture;energy,1.00,261
14,CHN:consumer_goods,UNCERTAIN,financial,commodities;consumer_goods,0.69,35
15,DEU:automotive,UNCERTAIN,financial,automotive;healthcare;agriculture,0.70,209
16,UNCERTAIN,UNCERTAIN,agriculture,manufacturing;technology;metals;chemicals,0.26,UNCERTAIN
17,UNCERTAIN,CHN:consumer_goods,aerospace,tourism;consumer_goods;manufacturing,0.30,UNCERTAIN
18,USA:automotive;USA:electronics;DEU:automotive;DEU:electronics;JPN:automotive;JPN:electronics;KOR:electronics;TWN:electronics;CHN:automotive;CHN:electronics,TWN:semiconductors,automotive,electronics;manufacturing;defense,UNCERTAIN,130
19,UNCERTAIN,CP:Suez,shipping,consumer_goods;automotive;energy;agriculture,0.02,0
20,UNCERTAIN,UNCERTAIN,shipping,consumer_goods;manufacturing;technology,0.02,104
21,UNCERTAIN,UKR:agriculture,energy,agriculture;defense;shipping;financial,1.00,UNCERTAIN
22,UNCERTAIN,DEU:energy,manufacturing,energy,0.30,104
23,UNCERTAIN,UNCERTAIN,real_estate,financial;consumer_goods,0.14,78
24,CHN:consumer_goods,CHN:real_estate,real_estate,construction;financial;metals;consumer_goods,1.00,UNCERTAIN
25,UNCERTAIN,UNCERTAIN,government,financial;energy;agriculture;tourism,0.87,UNCERTAIN
26,UNCERTAIN,CP:Suez,shipping,consumer_goods;automotive;energy;agriculture,1.00,104
27,USA:shipping;USA:automotive;CHN:automotive;JPN:automotive,PAN:shipping,shipping,automotive,1.00,78
28,USA:consumer_goods;USA:automotive;CHN:consumer_goods;CHN:automotive;DEU:automotive;MEX:automotive;IND:consumer_goods,UNCERTAIN,manufacturing,agriculture;consumer_goods;technology;automotive,0.14,UNCERTAIN
29,UNCERTAIN,UNCERTAIN,UNCERTAIN,,1.00,521
30,IND:consumer_goods,UNCERTAIN,agriculture,chemicals;consumer_goods;energy;government,1.00,78
31,UNCERTAIN,UNCERTAIN,UNCERTAIN,,1.00,UNCERTAIN
32,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.37,UNCERTAIN
33,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.26,UNCERTAIN
34,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.41,UNCERTAIN
35,UNCERTAIN,UNCERTAIN,UNCERTAIN,,1.00,UNCERTAIN
36,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.29,UNCERTAIN
37,UNCERTAIN,UNCERTAIN,UNCERTAIN,,UNCERTAIN,UNCERTAIN
38,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.15,UNCERTAIN
39,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.02,UNCERTAIN
40,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.12,UNCERTAIN
41,UNCERTAIN,CP:TaiwanStrait;TWN:semiconductors,UNCERTAIN,,0.28,UNCERTAIN
42,UNCERTAIN,UNCERTAIN,UNCERTAIN,,0.30,UNCERTAIN
