"Series Description","Computer and peripheral equipment  (NAICS = 3341); n.s.a. IP","Computer and peripheral equipment  (NAICS = 3341); s.a. IP","Semiconductor and other electronic component  (NAICS = 3344); n.s.a. IP","Semiconductor and other electronic component  (NAICS = 3344); s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); s.a. IP","Computers, communications eq., and semiconductors  (NAICS = 3341,3342,3344); n.s.a. IP","Computers, communications eq., and semiconductors  (NAICS = 3341,3342,3344); s.a. IP"
"Unit:","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100","Index:_2017_100"
"Multiplier:","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","G17/IP_SPECIAL_AGGREGATES/IP.G3341.N","G17/IP_SPECIAL_AGGREGATES/IP.G3341.S","G17/IP_SPECIAL_AGGREGATES/IP.G3344.N","G17/IP_SPECIAL_AGGREGATES/IP.G3344.S","G17/IP_SPECIAL_AGGREGATES/IP.G3361T3.N","G17/IP_SPECIAL_AGGREGATES/IP.G3361T3.S","G17/IP_SPECIAL_AGGREGATES/IP.HITEK2.N","G17/IP_SPECIAL_AGGREGATES/IP.HITEK2.S"
"Time Period","IP.G3341.N","IP.G3341.S","IP.G3344.N","IP.G3344.S","IP.G3361T3.N","IP.G3361T3.S","IP.HITEK2.N","IP.HITEK2.S"
1967-01,,,,,,,0.0440,0.0440
1967-02,,,,,,,0.0440,0.0443
1967-03,,,,,,,0.0439,0.0441
1967-04,,,,,,,0.0430,0.0439
1967-05,,,,,,,0.0431,0.0437
1967-06,,,,,,,0.0442,0.0441
1967-07,,,,,,,0.0434,0.0441
1967-08,,,,,,,0.0447,0.0445
1967-09,,,,,,,0.0456,0.0446
1967-10,,,,,,,0.0461,0.0454
1967-11,,,,,,,0.0471,0.0466
1967-12,,,,,,,0.0473,0.0471
1968-01,,,,,,,0.0470,0.0473
1968-02,,,,,,,0.0478,0.0483
1968-03,,,,,,,0.0476,0.0480
1968-04,,,,,,,0.0461,0.0471
1968-05,,,,,,,0.0478,0.0483
1968-06,,,,,,,0.0490,0.0488
1968-07,,,,,,,0.0477,0.0483
1968-08,,,,,,,0.0496,0.0493
1968-09,,,,,,,0.0506,0.0495
1968-10,,,,,,,0.0506,0.0498
1968-11,,,,,,,0.0505,0.0500
1968-12,,,,,,,0.0503,0.0502
1969-01,,,,,,,0.0506,0.0511
1969-02,,,,,,,0.0505,0.0511
1969-03,,,,,,,0.0517,0.0522
1969-04,,,,,,,0.0518,0.0529
1969-05,,,,,,,0.0528,0.0534
1969-06,,,,,,,0.0544,0.0541
1969-07,,,,,,,0.0543,0.0548
1969-08,,,,,,,0.0561,0.0556
1969-09,,,,,,,0.0574,0.0560
1969-10,,,,,,,0.0577,0.0568
1969-11,,,,,,,0.0571,0.0566
1969-12,,,,,,,0.0566,0.0564
1970-01,,,,,,,0.0559,0.0565
1970-02,,,,,,,0.0548,0.0555
1970-03,,,,,,,0.0549,0.0555
1970-04,,,,,,,0.0551,0.0563
1970-05,,,,,,,0.0547,0.0554
1970-06,,,,,,,0.0551,0.0546
1970-07,,,,,,,0.0549,0.0550
1970-08,,,,,,,0.0540,0.0533
1970-09,,,,,,,0.0540,0.0525
1970-10,,,,,,,0.0521,0.0512
1970-11,,,,,,,0.0507,0.0502
1970-12,,,,,,,0.0505,0.0504
1971-01,,,,,,,0.0490,0.0496
1971-02,,,,,,,0.0486,0.0492
1971-03,,,,,,,0.0488,0.0493
1971-04,,,,,,,0.0481,0.0491
1971-05,,,,,,,0.0486,0.0492
1971-06,,,,,,,0.0504,0.0498
1971-07,,,,,,,0.0504,0.0507
1971-08,,,,,,,0.0513,0.0508
1971-09,,,,,,,0.0529,0.0517
1971-10,,,,,,,0.0531,0.0523
1971-11,,,,,,,0.0535,0.0531
1971-12,,,,,,,0.0541,0.0542
1972-01,0.0275,0.0274,0.0290,0.0290,34.9278,37.3788,0.0562,0.0570
1972-02,0.0282,0.0282,0.0286,0.0286,37.6628,38.0400,0.0566,0.0573
1972-03,0.0288,0.0288,0.0290,0.0286,39.0447,38.3267,0.0573,0.0575
1972-04,0.0297,0.0296,0.0292,0.0290,42.8474,39.5647,0.0578,0.0581
1972-05,0.0300,0.0303,0.0290,0.0291,42.9663,38.8112,0.0582,0.0587
1972-06,0.0306,0.0304,0.0294,0.0288,43.3682,38.2000,0.0593,0.0586
1972-07,0.0309,0.0313,0.0280,0.0298,30.4210,38.0084,0.0578,0.0599
1972-08,0.0311,0.0320,0.0302,0.0300,32.9366,40.2130,0.0600,0.0604
1972-09,0.0322,0.0325,0.0319,0.0309,44.8567,40.8364,0.0622,0.0612
1972-10,0.0334,0.0334,0.0324,0.0319,46.8961,42.2182,0.0635,0.0627
1972-11,0.0344,0.0339,0.0336,0.0334,44.4868,43.3152,0.0652,0.0638
1972-12,0.0352,0.0344,0.0345,0.0356,38.9247,44.4265,0.0668,0.0656
1973-01,0.0350,0.0351,0.0353,0.0356,41.8891,45.4624,0.0663,0.0663
1973-02,0.0357,0.0359,0.0370,0.0370,46.2563,46.4721,0.0679,0.0679
1973-03,0.0357,0.0357,0.0381,0.0377,47.5655,45.9464,0.0688,0.0685
1973-04,0.0365,0.0364,0.0382,0.0382,47.6583,45.8520,0.0694,0.0696
1973-05,0.0376,0.0379,0.0382,0.0385,49.7893,45.7502,0.0705,0.0710
1973-06,0.0393,0.0392,0.0421,0.0413,52.9620,46.1207,0.0749,0.0743
1973-07,0.0390,0.0396,0.0368,0.0387,44.0581,46.4490,0.0703,0.0730
1973-08,0.0413,0.0421,0.0411,0.0410,34.4718,43.6048,0.0753,0.0765
